ID,ALIMENTO,KCAL,HIDRATOS,PROTEINAS,LIPIDOS
1,Actimel Naranja - La Serenisima,88.0,16.0,2.7,1.5
2,Actimel Natural - La Serenisima,83.0,14.3,2.8,1.6
3,Leche chocolatada descremada,61.9,10.0,3.0,1.1
4,Leche chocolatada,327.9,54.3,8.1,8.7
5,Leche chocolatada UAT Sancor,66.0,10.5,2.8,1.4
6,Leche chocolatada UHT Nesquik Nestle,72.8,11.7,2.9,1.6
7,Leche condensada Nestle,326.0,55.7,7.8,8.0
8,Leche condensada Nestle -Sirve Facil-,301.0,58.7,7.5,4.1
9,Leche cultivada descremada,32.5,4.3,3.6,0.1
10,Leche cultivada entera,98.5,14.9,4.1,2.5
11,Leche de burra,43.6,6.5,1.7,1.2
12,Leche de cabra,75.2,4.0,4.0,4.8
13,Leche de soja,35.5,2.1,3.4,1.5
14,Leche descremada,31.7,4.7,3.0,0.1
15,Leche descremada en polvo,365.1,51.7,35.4,1.85
16,Leche descremada fluida de vaca,42.5,5.0,3.6,0.9
17,Leche descremada parcialmente,44.7,4.8,3.0,1.5
18,Leche en polvo descremada -La Lechera- (polvo),359.0,52.0,35.0,1.2
19,Leche en polvo descremada La Serenisima,357.0,51.5,35.5,1.0
20,Leche en polvo -Nido- 3+ con prebio 3,474.0,44.4,21.0,23.6
21,Leche en polvo -Nido- 6+ con Calcio,427.0,48.9,26.0,14.1
22,Leche en polvo -Nido Crecimieto- 1+ con prebio 1,458.0,50.9,18.5,20.0
23,Leche en polvo -Nido- instantanea,500.0,36.3,25.0,28.2
24,Leche en polvo descremada -San Regim-,357.5,52.0,34.0,1.5
25,Leche en polvo entera -La Lechera-,495.0,38.6,26.4,26.0
26,Leche en polvo entera La Serenisima,490.0,38.0,26.0,26.0
27,Leche en polvo entera deslactosada La Serenisima (diluida),58.0,4.7,3.0,3.0
28,Leche en polvo entera -Sancor-,490.0,38.0,26.0,26.0
29,Leche en polvo Sancor Bebe Primeros Anos - 3 (de 1 a 3 anos),469.0,52.2,19.1,20.4
30,Leche entera en polvo,505.9,38.2,26.4,27.5
31,Leche entera en polvo de vaca,495.5,38.0,25.8,26.7
32,Leche entera fluida de vaca,63.4,4.7,3.5,3.4
33,Leche entera larga vida fortificada con azucar La Serenisima,62.1,4.9,3.2,3.3
34,Leche entera larga vida fortificada con hierro con azucar La Serenisima,79.0,10.0,3.0,3.0
35,Leche entera larga vida fortificada con hierro - La Serenisima,61.0,4.8,3.3,3.3
36,Leche entera larga vida organica - La Serenisima,62.1,4.9,3.2,3.3
37,Leche entera UAT con Fe y Vit. C Las Tres Ninas,57.0,4.5,3.0,3.0
38,Leche entera UAT Las tres ninas,58.2,4.8,3.0,3.0
39,Leche entera UAT Sancor,58.2,4.8,3.0,3.0
40,Leche entera ultrapasteurizada fortificada con hierro - La Serenisima,61.0,4.8,3.3,3.3
41,Leche entera ultrapasteurizada fortificada La Serenisima,57.0,4.5,3.0,3.0
42,Leche evaporada ,137.5,9.8,6.8,7.9
43,Leche humana,78.4,9.5,1.1,4.0
44,Leche microfiltrada entera Sancor Max,58.2,4.8,3.0,3.0
45,Leche microfiltrada parcialmente descremada Sancor Max,44.7,4.8,3.0,1.5
46,Leche parcialmente descremada,46.4,4.8,3.2,1.6
47,Leche parcialmente descremada Active - La Serenisima,45.6,4.7,3.3,1.5
48,Leche parcialmente descremada Crecer con jugo - La Serenisima,65.0,11.5,1.2,1.5
49,Leche parcialmente descremada larga vida fortificada extra calcio - La Serenisima,46.0,4.7,3.3,1.5
50,Leche parcialmente descremada Serecol - La Serenisima,49.0,4.7,3.3,1.9
51,Leche parcialmente descremada Serecol con jugo - La Serenisima,55.0,10.0,1.2,1.1
52,Leche parcialmente descremada UAT con Fe y Vit. C Las tres Ninas,44.7,4.8,3.0,1.5
53,Leche parcialmente descremada UAT Las tres Ninas,44.7,4.8,3.0,1.5
54,Leche parcialmente descremada UAT San Regim,44.7,4.8,3.0,1.5
55,Leche parcialmente descremada UAT Sancor,45.1,4.8,3.1,1.5
56,Leche parcialmente descremada ultrapasteurizada fort. extra calcio - La Serenisima,46.0,4.7,3.3,1.5
57,Leche Sancor Bio Light sabor frutilla,31.9,5.2,2.7,0.1
58,Leche Sancor Bio Light sabor natural,31.9,5.2,2.7,0.1
59,Leche Sancor Bio sabor frutilla,75.6,9.5,2.7,3.0
60,Leche Sancor Bio sabor natural,75.6,9.5,2.7,3.0
61,Leche UAT Sancor Bebe Infantil - 2 (6 a 12 meses),73.5,7.7,2.7,3.6
62,Licuado de yogur - La Serenisima,37.6,6.8,0.9,0.8
63,Queso Azul Danes,329.7,1.9,22.8,26.5
64,Queso Azul Sancor,360.0,0.0,20.0,31.0
65,Queso Bel Paese,356.7,0.0,24.6,28.7
66,Queso Blanco Mendicrim Cero%,75.0,7.5,11.0,0.0
67,Queso Blanco Mendicrim Light,123.0,7.5,9.4,6.2
68,Queso Blanco Mendicrim Original,261.0,4.2,4.9,25.0
69,Queso Blanco Mendicrim Suave,229.0,5.7,6.5,20.0
70,Queso Bluebert,334.0,0.0,20.5,28.0
71,Queso Brie,330.1,1.0,21.9,26.5
72,Queso Camembert,299.5,1.8,17.5,24.7
73,Queso Chedar,398.2,2.1,25.0,32.2
74,Queso Chubut,327.7,0.0,25.9,24.9
75,Queso Cottage,98.9,3.6,11.9,4.1
76,Queso Cream cheese entero,248.0,2.0,6.0,24.0
77,Queso Cream cheese light,188.0,2.5,8.5,16.0
78,Queso Crema,377.0,2.0,9.0,37.0
79,Queso Cremoso La Serenisima,313.0,1.0,21.0,25.0
80,Queso Cuajada,256.9,6.2,15.5,18.9
81,Queso Cuartirolo,274.5,0.0,18.9,22.1
82,Queso cultivado Quark,70.2,4.0,13.1,0.2
83,Queso Danbo,356.0,0.0,26.0,28.0
84,Queso Danbo La Serenisima,326.0,0.8,24.5,25.0
85,Queso Danbo Sancor,333.0,0.0,27.0,25.0
86,Queso de Cabra,169.7,3.7,16.0,10.1
87,Queso de maquina,228.4,1.9,16.5,17.2
88,Queso Edam hipograso,241.0,0.0,25.6,15.4
89,Queso Edam,338.5,0.0,24.1,26.9
90,Queso Emmenthal,385.4,5.1,27.8,28.2
91,Queso Fondue,281.5,0.0,22.0,21.5
92,Queso Fontina,369.0,0.0,27.0,29.0
93,Queso Fontina Sancor,377.0,0.0,29.0,29.0
94,Queso Fresco,356.3,1.0,26.2,27.5
95,Queso Fundido,275.1,0.6,13.5,24.3
96,Queso Fundido con Azul Sancor,302.0,0.0,17.0,26.0
97,Queso Fundido con Gruyere Sancor,302.0,0.0,17.0,26.0
98,Queso Fundido con Jamon Sancor,302.0,0.0,17.0,26.0
99,Queso Fundido untable,280.0,0.0,16.0,24.0
100,Queso Fynbo,348.0,0.0,24.0,28.0
101,Queso Fynbo Sancor,357.0,0.0,24.0,29.0
102,Queso Gorgonzola,341.6,0.0,18.8,29.6
103,Queso Gorda,346.8,0.8,24.7,27.2
104,Queso Gouda La Serenisima,367.0,0.8,24.5,29.5
105,Queso Goya,374.0,0.0,35.0,26.0
106,Queso Gruyere,395.9,1.0,28.9,30.7
107,Queso Havarti entero,396.0,0.0,18.0,36.0
108,Queso Havarti Light,274.0,0.0,28.0,18.0
109,Queso Holanda,345.2,0.0,25.1,27.2
110,Queso Limburgo,345.6,2.2,21.2,28.0
111,Queso Limburgo hipograso,255.1,0.0,21.7,18.7
112,Queso Mar del Plata,399.7,0.0,29.5,31.3
113,Queso Minifynbo,300.0,0.3,27.5,21.0
114,Queso MiniFynbo La Serenisima,326.0,0.8,24.5,25.0
115,Queso Mozzarella,330.0,0.0,24.0,26.0
116,Queso Mozzarella La Serenisima,313.0,0.8,24.5,23.5
117,Queso Mozzarella Sancor,308.0,0.0,23.0,24.0
118,Queso Muenster,360.2,2.4,24.2,28.2
119,Queso Neufchatel,262.2,2.9,10.0,23.4
120,Queso Parmesano,350.4,0.0,32.7,24.4
121,Queso Parmesano Sancor,370.0,0.0,35.0,25.0
122,Queso Parriqueso,312.8,0.0,28.7,22.0
123,Queso Pategras,365.0,0.0,26.0,29.0
124,Queso Pategras La Serenisima,380.0,0.8,25.5,30.5
125,Queso Pategras Sancor,369.0,0.0,27.0,29.0
126,Queso Pepato,386.0,0.0,29.0,30.0
127,Queso Petit Suisse,136.0,0.0,7.0,12.0
128,Queso Port du Salut,348.2,0.0,23.6,28.2
129,Queso Port Salut,295.0,0.0,22.0,23.0
130,Queso Port Salut La Serenisima,307.0,1.0,24.0,23.0
131,Queso Port Salut Diet La Serenisima,214.0,0.5,26.0,12.0
132,Queso Port Salut Sancor,310.0,0.0,22.0,25.0
133,Queso Provolone,365.5,4.0,25.5,27.5
134,Queso Provolone La Serenisima,431.0,0.5,25.7,36.2
135,Queso Provolone Sancor,374.0,0.0,35.0,26.0
136,Queso rallado La Serenisima,459.0,0.5,41.2,32.5
137,Queso rallado Sancor,468.0,0.0,45.0,32.0
138,Queso Reggianito,382.0,0.0,37.0,26.0
139,Queso Reggianito La Serenisima,384.0,0.5,32.5,28.0
140,Queso Reggianito Sancor,360.0,0.0,35.0,25.0
141,Queso requeson,161.2,2.6,13.4,10.8
142,Queso Ricota,166.7,0.3,9.2,14.3
143,Queso Ricota de leche descremada,137.1,5.1,11.4,7.9
144,Queso Ricota de leche entera,174.2,3.0,11.3,13.0
145,Queso Romadur,297.2,0.0,19.4,24.4
146,Queso Romano,398.0,1.2,30.8,30.0
147,Queso Roquefort,368.5,2.0,21.5,30.5
148,Queso Saint Paulin,223.0,0.5,26.0,13.0
149,Queso Sardo,389.9,1.0,31.0,29.1
150,Queso Sardo La Serenisima,406.0,0.5,29.0,32.0
151,Queso Sardo Sancor,370.0,0.0,33.0,27.0
152,Queso Sbrinz,357.0,0.0,29.4,26.6
153,Queso Suand,248.5,0.0,34.0,12.5
154,Queso Suizo,368.8,1.7,27.5,28.0
155,Queso Tholem,260.0,0.0,11.0,24.0
156,Queso Tilsit,338.7,0.0,25.5,26.3
157,Queso Tilsit hipograso,257.9,0.0,27.8,16.3
158,Queso Tofo,137.0,1.0,13.0,9.0
159,Queso Trocitos Clasico - Sancor,298.0,0.0,16.0,26.0
160,Queso Trocitos con Azul - Sancor,298.0,0.0,16.0,26.0
161,Queso Trocitos con Salame - Sancor,298.0,0.0,16.0,26.0
162,Queso untable Finlandia Light - La Serenisima,194.0,3.8,9.0,15.8
163,Ricotta entera La Serenisima,151.0,0.0,11.0,11.0
164,Ricotta magra La Serenisima,108.0,0.0,12.0,4.9
165,Suero de leche,26.7,5.1,0.9,0.3
166,Yogurt batido Sancor light vainilla-frutilla,39.7,5.8,3.9,0.1
167,Yogurt bebible Sancor frutilla-durazno- frutas tropicales,73.3,12.8,2.6,1.3
168,Yogurt con cereal azucarado ,119.0,21.0,3.8,2.2
169,Yogurt con comesolitos Sancor mix,119.7,20.0,4.3,2.5
170,Yogurt con copos de maiz Sancor light mix,62.5,11.0,4.4,0.1
171,Yogurt con frutas frutilla-durazno,94.1,15.5,3.3,2.1
172,Yogurt con frutillas y cereales Sancor mix,105.1,17.0,4.1,2.3
173,Yogurt con pulpa Sancor frutilla- durazno,73.7,13.0,2.5,1.3
174,Yogurt con salvado de trigo- avena y manzana Sancor light mix,66.6,11.5,4.7,0.2
175,Yogurt con trozos de frutilla y durazno Sancor light,47.3,8.6,3.0,0.1
176,Yogurt descremado con cereales,63.3,11.4,4.2,0.1
177,Yogurt descremado con frutas,36.9,5.0,4.0,0.1
178,Yogurt descremado saborizado,36.9,5.0,4.0,0.1
179,Yogurt descremado Ser con All Bran,33.2,5.2,2.8,0.2
180,Yogurt descremado Ser con Corn Flakes,31.6,5.3,2.5,0.1
181,Yogurt descremado Ser con Muslix,40.0,7.2,2.5,0.2
182,Yogurt descremado Vida con cereal azucarado - Sancor,57.0,10.0,4.1,0.1
183,Yogurt descremado Vida con trozos de durazno - Sancor,46.9,8.6,3.0,0.1
184,Yogurt descremado Vida con trozos de frutilla - Sancor ,46.9,8.6,3.0,0.1
185,Yogurt entero con frutas,89.8,14.0,3.5,2.2
186,Yogurt entero con Muslix,133.6,22.3,4.8,2.8
187,Yogurt entero saborizado,91.4,13.0,4.0,2.6
188,Yogurt entero Yogs bebible sabor durazno - Sancor,76.3,13.5,2.7,1.3
189,Yogurt entero Yogs bebible sabor frutilla - Sancor,76.3,13.5,2.7,1.3
190,Yogurt entero Yogs bebible sabor vainilla - Sancor,76.3,13.5,2.7,1.3
191,Yogurt entero Yogs con trozos de durazno - Sancor,94.1,15.5,3.3,2.1
192,Yogurt entero Yogs con trozos de frutilla - Sancor,94.1,15.5,3.3,2.1
193,Yogurt entero Yogs de vainilla con copos azucarados - Sancor,115.0,18.4,4.6,2.6
194,Yogurt entero Yogs sabor dulce de leche - Sancor ,103.4,15.3,3.8,2.8
195,Yogurt entero Yogurisimo con cereales,61.2,10.4,2.0,1.3
196,Yogurt entero Yogurisimo batido saborizado,50.0,7.5,1.8,1.4
197,Yogurt entero Yogurisimo bebible saborizado,78.4,11.7,3.0,2.2
198,Yogurt entero Yogurisimo firme saborizado,78.4,11.7,3.0,2.2
199,Yogurt parcialmente descremado con cereales,119.8,20.7,5.2,1.8
200,Yogurt parcialmente descremado con frutas,113.8,21.4,3.9,1.4
201,Yogurt parcialmente descremado saborizado,75.0,12.0,4.5,1.0
202,Yogurt saborizado Sancor vainilla- frutilla- dulce de leche,98.2,14.4,3.4,3.0
203,Yogurt Sancor light frutilla- vainilla- durazno,39.7,5.8,3.9,0.1
